channel,dataset_code,indicator_code,unit,frequency,eu27_2020_period,eu27_2020_value,country_coverage_count,country_coverage_list,missing_country_list,highest_positive_deviation_country,highest_positive_deviation_value,highest_positive_country_observation_value,highest_negative_deviation_country,highest_negative_deviation_value,highest_negative_country_observation_value,austria_period,austria_value,austria_deviation_vs_eu27_2020,compatibility_note,boundary_note,data_proof_decision,retrieved_at,source_release_date
Real GDP growth,nama_10_gdp,na_item=B1GQ;unit=CLV_PCH_PRE,Percentage change on previous period,Annual,2025,1.500,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Ireland,+6.500,8.000,Germany,-1.300,0.200,2025,0.800,-0.700,Compared countries use EU27_2020 period 2025 and Annual frequency.,Latest official annual observation under the selected Eurostat path; deviations are percentage-point differences from EU27_2020.,PASS,2026-07-04T15:34:08.901838+00:00,2026-07-02T23:00:00+0200
HICP inflation,prc_hicp_aind,coicop=CP00;unit=RCH_A_AVG,Annual average rate of change,Annual,2025,2.500,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Romania,+4.300,6.800,Cyprus,-1.700,0.800,2025,3.600,+1.100,Compared countries use EU27_2020 period 2025 and Annual frequency.,Latest official annual-average HICP observation; deviations are percentage-point differences from EU27_2020.,PASS,2026-07-04T15:34:08.901838+00:00,2026-02-06T23:00:00+0100
HICP energy inflation,prc_hicp_aind,coicop=NRG;unit=RCH_A_AVG,Annual average rate of change,Annual,2025,-0.600,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Austria,+8.200,7.600,France,-4.800,-5.400,2025,7.600,+8.200,Compared countries use EU27_2020 period 2025 and Annual frequency.,Latest official annual-average HICP energy component observation; not a broad energy-pressure proxy.,PASS,2026-07-04T15:34:08.901838+00:00,2026-02-06T23:00:00+0100
Unemployment rate,une_rt_m,age=TOTAL;sex=T;unit=PC_ACT;s_adj=SA,Percentage of population in the labour force,Monthly,2026-05,5.900,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Finland,+4.900,10.800,Bulgaria,-3.000,2.900,2026-05,5.800,-0.100,Compared countries use EU27_2020 period 2026-05 and Monthly frequency.,Latest official monthly unemployment observation; monthly frequency differs from annual channels.,PASS,2026-07-04T15:34:08.901838+00:00,2026-07-02T23:00:00+0200
Government gross debt,gov_10dd_edpt1,sector=S13;na_item=GD;unit=PC_GDP,Percentage of gross domestic product (GDP),Annual,2025,81.700,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Greece,+64.400,146.100,Estonia,-57.600,24.100,2025,81.500,-0.200,Compared countries use EU27_2020 period 2025 and Annual frequency.,Latest official general-government gross debt observation; not a debt-sustainability assessment.,PASS,2026-07-04T15:34:08.901838+00:00,2026-04-22T11:00:00+0200
Government balance,gov_10dd_edpt1,sector=S13;na_item=B9;unit=PC_GDP,Percentage of gross domestic product (GDP),Annual,2025,-3.100,27,"BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE",,Cyprus,+6.500,3.400,Romania,-4.800,-7.900,2025,-4.200,-1.100,Compared countries use EU27_2020 period 2025 and Annual frequency.,Latest official net lending/net borrowing observation; sign is preserved.,PASS,2026-07-04T15:34:08.901838+00:00,2026-04-22T11:00:00+0200
